time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2020-03-21T00:00:00.000Z","LatLng(34.75, 136.7)","-29.92","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-03-28T00:00:00.000Z","LatLng(34.75, 136.7)","-36.39","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-04T00:00:00.000Z","LatLng(34.75, 136.7)","62.62","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-11T00:00:00.000Z","LatLng(34.75, 136.7)","41.97","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-18T00:00:00.000Z","LatLng(34.75, 136.7)","238.75","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-04-25T00:00:00.000Z","LatLng(34.75, 136.7)","40.37","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-02T00:00:00.000Z","LatLng(34.75, 136.7)","-27.23","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-09T00:00:00.000Z","LatLng(34.75, 136.7)","-25.88","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-16T00:00:00.000Z","LatLng(34.75, 136.7)","0.96","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-23T00:00:00.000Z","LatLng(34.75, 136.7)","11.91","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-05-30T00:00:00.000Z","LatLng(34.75, 136.7)","71.51","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-06-06T00:00:00.000Z","LatLng(34.75, 136.7)","-51.59","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-06-13T00:00:00.000Z","LatLng(34.75, 136.7)","49.53","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-06-20T00:00:00.000Z","LatLng(34.75, 136.7)","183.34","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-07-18T00:00:00.000Z","LatLng(34.75, 136.7)","92.62","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-01T00:00:00.000Z","LatLng(34.75, 136.7)","16.51","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-08T00:00:00.000Z","LatLng(34.75, 136.7)","-10.05","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-15T00:00:00.000Z","LatLng(34.75, 136.7)","-0.8","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-22T00:00:00.000Z","LatLng(34.75, 136.7)","-53.96","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-29T00:00:00.000Z","LatLng(34.75, 136.7)","-32.47","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-09-05T00:00:00.000Z","LatLng(34.75, 136.7)","2.42","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-09-12T00:00:00.000Z","LatLng(34.75, 136.7)","-58.05","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-09-19T00:00:00.000Z","LatLng(34.75, 136.7)","24.92","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-09-26T00:00:00.000Z","LatLng(34.75, 136.7)","-42.04","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
